comentario,Valor,nombreAspecto
la capacidad de los profesores para ensenar,Positivo,Docentes
"organización de las escaleras, uso del ascensor. y sacar a los jóvenes que utilizan el octavo piso para jugar y fumar lo que está prohibido en la universidad,  pues nos da mala imagen tanto a la universidad como a los estudiantes que buscamos trabajo.",Negativo,Percepción General
profesores,Positivo,Docentes
que es una universidad donde muestran interes por el alumno exigiendopar alcanzar un alto nivel académico,Positivo,Docentes
la experiencia de la plana de docente,Positivo,Docentes
que los docentes son exigentes y eso hace una mejora para los alumnos,Positivo,Docentes
estiar,Positivo,Estrategia Académica
los profesores algunos le falta que hagn sus clases mas dinamicos  cafetin pequeño  sucio los baños,Negativo,Docentes
"en la cantidad de alumnos, es demasido para una sola aula",Negativo,Estrategia Académica
valoro la metodologia de la enseñanza,Positivo,Docentes
las clases y los espacios que dan a los estudiantes para que se desenvuelvan como tanto en talleres y programas estudiantiles y bueno en la parte academica el cambio de profesores o la mejora fue notable en mi opinion.,Positivo,Docentes
los profesores deben de usar una metologiammas clara al momento de realizar sus horas de clase,Positivo,Docentes
los conocimientos que voy adquiriendo en el transcurso de los ciclos,Positivo,Docentes
"las enseñanzas de los profesores, debido a esto nos ayudan a complementar e implementar mas nuestros estudios, nos enseñan tipos de datos, para asi poder tener exito y ser un  buen profesional",Positivo,Docentes
algunos docemntes,Negativo,Docentes
"la exigencia en los trabajos, no se cumplen con las fechas y los profesores extienden el plazo. mejor uso de las aplicaciones del aula virtual",Negativo,Percepción General
todo ok,Positivo,Percepción General
la atencion en epocas de matricula y horario,Positivo,Estrategia Académica
la educacion,Positivo,Estrategia Académica
aprendisaje de todos los cursos y a los profesores por sus ensenanzas,Positivo,Docentes
"ser mas claros en dar la información, los ingresos al aula tienen que ser mas rigidos",Negativo,Percepción General
en las aulas aun pregrado no cumple con horario de salida y el uso de wifi en el salon,Negativo,Percepción General
zonas extracurriculares con el fin de sentirse identificado con la u.,Negativo,Percepción General
la buena enseñanza el buen trato de los profesores,Positivo,Docentes
"la oportunidad que da a las personas que trabajan , los horarios y los profesores calificados",Positivo,Docentes
"en la cafeteria , en los horarios, en las pocas actividades recreativas.",Negativo,Estrategia Académica
la correcta enseñanza de los profesores,Positivo,Docentes
red laureate,Positivo,Percepción General
calidad de profesores,Positivo,Docentes
"instalaciones, profesores",Negativo,Docentes
"calidad docente, posicionamiento que este creciendo",Positivo,Estrategia Académica
su modalidad wa,Positivo,Estrategia Académica
la enseñanza es buena,Positivo,Docentes
los docentes.,Positivo,Docentes
la experiencia vivida con cada profesor.,Positivo,Docentes
los horarios estean bien q no lo separen en dos dias sinoven uno solo y que aigan loques par arquitectura,Negativo,Estrategia Académica
"experiencia de algunos profesores, buena infraestructura y la flexibilidad de los horarios.",Positivo,Docentes
poner menor alumnado en un salon y hay cursos que es necesa  rio laboratorio  y no contamos con ello,Negativo,Estrategia Académica
tener una mejor organización y prestaciones e apoyo al estudiante,Negativo,Percepción General
"la enseñanza, la universidad todo lo ve lucrar. no me parece que le interese el bienestar del alumno.",Negativo,Percepción General
la calidad de docentes con la que cuenta,Positivo,Docentes
la organizacion deberia haber mas salones y mas horarios en la noche a partir de ciclos mayores como de quinto en adelante por algumos trabajan,Negativo,Estrategia Académica
la enseñanza de la mayoria de los profesores,Positivo,Docentes
"esta en proceso de mejora, pero aun se requiere mayor enfasis en lo academico",Negativo,Estrategia Académica
siguen aumentando la pension,Negativo,Percepción General
"comodidad del estudiante,  areas de recreación. salida accidentada de estudiantes. falta de cajero automatico",Negativo,Percepción General
"en los dos ultimos ciclos hubo talvez malos filtros con respecto a la selección de profesores, tuvimos inconvenientes y cambios de maestros que nos perjudicaron en la enseñanza debido a diferentes metodologias y teoremas que usaban. ademas se necesita que el profesor sea más comprensible y se ponga de parte de los alumnos que tratamos de buscar solucions para nuestras calificaciones, con asesorías por ejemplo.",Negativo,Docentes
"en la parte administrativa , que es en escoger horarios , deberian mejorar su sistema y que el estudiante tenga tranqilidad al poder matricularse en la comodidad de su casa , sin complicaciones.",Negativo,Estrategia Académica
la metodologia de enseñanza y calidad de profesores,Positivo,Docentes
todos los profesores no tienen la misma metodologia para que los alumnos aprendan,Negativo,Docentes
deberian tener profesores mas calificados y verificar que su metodologia sea la adecuada para los alumnos y que sepa llegar a ellos,Positivo,Docentes
"falta más organización para la realización de horarios ,  y falta más limpieza en los baños",Negativo,Estrategia Académica
horarios para jovenes que trabajan,Negativo,Estrategia Académica
la metodología para enseñanza de los profesores.,Positivo,Estrategia Académica
la calidad de sus profesores y su infraestructura,Positivo,Docentes
mas organizacion y opciones de horarios sobre todo para estudiantes que trabajan,Negativo,Estrategia Académica
el metodo de enseñanza,Positivo,Docentes
que cuentan con personal profesional,Positivo,Docentes
"deberia haber una mayor exigencia academica, se entiende que el programa es un working adult, pero eso no amerita que nos exijan mas.  los baños apestan horrible, mejorar eso.",Negativo,Percepción General
se deberían abrir más talleres relacionados a las artes,Negativo,Estrategia Académica
falta de disponibilidad de horarios,Negativo,Estrategia Académica
buen campus universitario.,Positivo,Percepción General
los profesores excelentes dra beltran y dr rincon,Positivo,Docentes
"deben mejorar su plana docente, horarios mas acorde al alumnado, una infraestructura mas amplia, respeto por los articulos de matricula, plan de becas y beneficios a los alumnos con notas sobresalientes, mayor acontacto con empresas reconocidas, cursos en verano y aulas para arquitectura tanto para el desarrollo de maquetas como para su almacenamiento con la posibilidad de dormir en la sede para mayor facilidad",Negativo,Docentes
los docentes,Positivo,Docentes
"mejorar el café ton, más puntos de colección a interné por cable en los salones, horarios más flexibles,",Negativo,Estrategia Académica
"proceso de admisión, matriculan a muchas personas y no se puede llevar bien la clase es anti pedagógico, me paso en ingles y en otro curso que por culpa de que matrícula ron a muchos alumnos no podemos llevar aula virtual deberían facilitarnos unas laptop en todo caso",Negativo,Estrategia Académica
tecnologia,Positivo,Estrategia Académica
los profesionales q dictan las clases,Positivo,Docentes
los laboratorios hay cursos que se deben llevar sin en bargo no disponibilidad de ellos   la cantidad de alunmos por aula es demaciado en algunos cursos,Negativo,Estrategia Académica
bolsa de trabajo y exigencia academica,Negativo,Estrategia Académica
"ampliar la universidad, horarios de clases",Negativo,Estrategia Académica
la enseñanza que nos brindan,Positivo,Docentes
"en aula virtual, hay pocas computadoras, el ascensor se obstruye mucho, algunos profesores su enseñanza no es muy buena que digamos",Negativo,Docentes
poco break,Negativo,Estrategia Académica
los profesores son muy atentos y nos brindan buen conocimiento,Positivo,Docentes
la educacion que nos brindan y la calidad de los profesores,Negativo,Estrategia Académica
no admitir a un borracho entrar...deberian a ver mas seguridad y no les digo de los estudiantes..si no los mismos trabjadores,Positivo,Percepción General
"la eleccion de los alumnos, no cuidan los espacios comunes",Negativo,Percepción General
cada ciclo que pasa bajan la calidad y siempre hay problemas,Negativo,Estrategia Académica
la enseñanza de los profesores,Positivo,Docentes
los docentes deben tener un metodo de enseñanza más didáctico. (algunos ya lo hacen),Negativo,Docentes
mas y mejores horarios,Negativo,Estrategia Académica
la atecion de admision y los profesores,Negativo,Docentes
deberian poner horarios en la noche para la gente que trabaja,Negativo,Estrategia Académica
en la coordinacion academica de la cafultad de derecho y en las irregularidades que existe con los profesores,Negativo,Docentes
la exigencia en algunos profesores,Negativo,Docentes
el espacio es pequeño para la cantidad de estudiantes.  no todos los profesores son buenos,Negativo,Docentes
"la enseñanza impartida por los docentes, infrestructura y lo mas importante el dinamismo de los docentes.",Positivo,Docentes
una buena infraestructura y un excelente ambiente de trabajo,Positivo,Percepción General
la elección de cursos al momento de la matricula,Negativo,Estrategia Académica
algunos profesores no contaban con la expectativa o la enseñanza del curso de la culaes hacian que las clases sean aburridas,Negativo,Docentes
los profesores y tanta seguridad en la entrada,Negativo,Docentes
"que tenemos profesores, buenos, dinamicos y sobre todo que se preocupan por nosotros.   deberian implementar mas salones de clase. y agrandar la cafeteria y biblioteca",Positivo,Docentes
"que para ser una nueva universidad me gusta que hayan buenos profesores. ademas , me gustan lo cambios realizados.    como sugerencia diria que mejoren a señal de wifi tanto oara la torre a como la b , seria genial!!!!",Positivo,Docentes
filtrar mejor a los profesores.,Negativo,Docentes
flexibilidad y curricula univrer,Positivo,Estrategia Académica
"valoro  sus profesores, porue son muy buenos con la enseñanza, ademas de la fafilidades que nos brinda la universidad para que nuestra experiencia uiversitaria se buena. pienso que deberin agregar mas tallere.",Positivo,Docentes
la buena enseñanza de los profesores,Positivo,Docentes
deberían ampliar el límite de faltas,Negativo,Estrategia Académica
conoci al amot de mi vida,Positivo,Percepción General
